,Name,RegNo,8385-Place,8385-Points,8384-Place,8384-Points,8053-Place,8053-Points,8188-Place,8188-Points,8092-Place,8092-Points,8051-Place,8051-Points,8052-Place,8052-Points,Best4-Points,place
0,Jordanov Nikolaj,VBM6501,3.,182,3.,182,,,5.,172,1.,200,,,1.,200,764,1
1,Otoupalík Jan,TBM7123,5.,172,,,2.,190,4.,176,3.,182,DISK,0,DISK,0,720,2
2,Jašek Milan,TBM6201,,,6.,170,8.,168,3.,182,6.,170,2.,190,,,712,3
3,Robotka Libor,PBM5303,9.,167,15.,161,9.,167,,,10.,166,3.,182,8.,168,684,4
4,Minařík Luboš,TBM5711,8.,168,9.,167,7.,169,,,7.,169,,,4.,176,682,5
5,Hanzl Vlastimil,VBM5329,,,8.,168,5.,172,,,5.,172,,,11.,165,677,6
6,Chmelík Aleš,VBM4732,14.,162,17.,159,10.,166,,,14.,162,,,7.,169,659,7
7,Eremiášová Jana,TBM5451,13.,163,19.,157,13.,163,,,16.,160,,,9.,167,653,8
8,Obrátil Miroslav,ABM6502,17.,159,,,17.,159,,,22.,154,8.,168,13.,163,649,9
9,Tesařová Jitka,RBK6451,10.,166,18.,158,DISK,0,10.,166,19.,157,,,,,647,10
10,Tomanová Jana,LBM4955,,,23.,153,16.,160,,,23.,153,,,14.,162,628,11
11,Trš Lubomír,PBM7302,1.,200,1.,200,1.,200,,,,,,,,,600,12
12,Kubáňová Jana,TBM7275,,,,,3.,182,,,,,1.,200,2.,190,572,13
13,Schwabová Kateřina,TBM7371,,,,,4.,176,2.,190,,,,,3.,182,548,14
14,Pulec Pavel,VBM6201,7.,169,7.,169,,,,,4.,176,,,,,514,15
15,Podivínský Tomáš,SCP7201,,,10.,166,6.,170,,,,,,,5.,172,508,16
16,Vymazal Michal,ZBM5701,,,,,15.,161,12.,164,,,,,12.,164,489,17
17,Jadviščok Ladislav,UOL5101,,,,,,,11.,165,20.,156,,,10.,166,487,18
18,Procházková Helena,TBM5351,16.,160,,,,,9.,167,17.,159,,,,,486,19
19,Dufek Jan,TBM4231,,,DISK,0,18.,158,,,18.,158,9.,167,,,483,20
20,Štěpánek Jiří,LBM5401,11.,165,21.,155,14.,162,,,,,,,DISK,0,482,21
21,Florian Michal,TBM6733,2.,190,4.,176,,,,,,,,,,,366,22
22,Hiršová Marcela,TBM7079,4.,176,5.,172,,,,,,,,,,,348,23
23,Tršová Daniela,PBM7375,12.,164,,,,,,,,,4.,176,,,340,24
24,Kabáthová Jitka,ZBM5582,,,11.,165,,,,,,,,,6.,170,335,25
25,Zabloudil Pavel,TBM5003,,,,,12.,164,,,11.,165,,,,,329,26
26,Provazník Dušan,ADA7301,6.,170,20.,156,,,,,,,,,,,326,27
27,Jašková Monika,TBM6363,,,14.,162,,,,,15.,161,,,,,323,28
28,Henek Milan,RBK5307,15.,161,22.,154,,,,,,,,,,,315,29
29,Kheil Radim,PBM7301,,,,,,,1.,200,,,,,,,200,30
30,Grepl Ladislav,KON6111,,,2.,190,,,,,,,,,,,190,31
31,Urválek Jiří,TBM6107,,,,,,,,,2.,190,,,,,190,31
32,Gawel Jiří,JBM5700,,,,,,,,,,,5.,172,,,172,33
33,Štípek Rostislav,TZL5702,,,,,,,,,,,6.,170,,,170,34
34,Kuchařová Ada,TBM5855,,,,,,,6.,170,,,,,,,170,34
35,Rajnošková Marie,BZR6051,,,,,,,,,,,7.,169,,,169,36
36,Nechuta Milan,PZR7007,,,,,,,7.,169,,,,,,,169,36
37,Hrušková Lenka,ZBM6251,,,,,,,,,8.,168,,,,,168,38
38,Nechutová Alena,PZR6969,,,,,,,8.,168,,,,,,,168,38
39,Imlauf Martin,SNA6301,,,,,,,,,9.,167,,,,,167,40
40,Vysočan Pavel,UBM6902,,,,,DISK,0,,,,,10.,166,,,166,41
41,Jordanová Blanka,VBM6851,,,,,11.,165,,,,,,,,,165,42
42,Jalová Marie,RBK5761,,,DISK,0,,,,,12.,164,,,,,164,43
43,Hlavová Miroslava,KON6389,,,12.,164,,,,,,,,,,,164,43
44,Kříž Pavel,PZR4800,,,13.,163,,,,,,,,,,,163,45
45,Blažková Hana,RBK6957,,,,,,,,,13.,163,,,,,163,45
46,Ježková Ilona,TBM7256,,,DISK,0,,,13.,163,,,,,DISK,0,163,45
47,Smičková Eva,KON5887,,,16.,160,,,,,,,,,,,160,48
48,Dvořáková Martina,RBK7253,,,,,,,,,21.,155,,,,,155,49
49,Salajkova Věra,LBM5558,,,,,,,DISK,0,24.,152,,,,,152,50
50,Richter Rudolf,ADA5113,,,,,DISK,0,,,,,,,,,0,51
