,Name,RegNo,8385-Place,8385-Points,8384-Place,8384-Points,8053-Place,8053-Points,8188-Place,8188-Points,8092-Place,8092-Points,8051-Place,8051-Points,8052-Place,8052-Points,Best4-Points,place
0,Koča František,ZBM1100,,,2.,190,5.,172,1.,200,1.,200,3.,182,,,772,1
1,Beránková Kamila,ZBM1152,,,1.,200,1.,200,6.,170,4.,176,,,3.,182,758,2
2,Bárta Ladislav,RBK1101,,,11.,165,2.,190,2.,190,3.,182,2.,190,DISK,0,752,3
3,Jágrová Zuzana,RBK1051,1.,200,4.,176,,,7.,169,,,,,6.,170,715,4
4,Sedláček Martin,TBM1212,,,7.,169,9.,167,3.,182,,,7.,169,5.,172,692,5
5,Šťastná Vendula,TBM1384,,,12.,164,12.,164,8.,168,5.,172,6.,170,8.,168,678,6
6,Broschová Alžběta,RBK1151,,,10.,166,,,,,6.,170,5.,172,7.,169,677,7
7,Kozmon Lukáš,PBM1301,6.,170,8.,168,15.,161,9.,167,8.,168,8.,168,10.,166,674,8
8,Tomíčková Ivana,TBM1364,,,,,13.,163,10.,166,7.,169,13.,163,DISK,0,661,9
9,Široký Jakub,BBM1000,,,17.,159,,,15.,161,13.,163,,,17.,159,642,10
10,Janda Kryštof,ZBM1309,,,18.,158,19.,157,,,11.,165,19.,157,DISK,0,637,11
11,Hikl Martin,ZBM1104,,,3.,182,10.,166,DISK,0,,,,,1.,200,548,12
12,Smítal Vendelín,ZBM1203,,,,,3.,182,4.,176,2.,190,,,,,548,12
13,Kopáč František,ZBM1105,,,,,6.,170,5.,172,,,,,4.,176,518,14
14,Vaculín Vilém,TBM1305,2.,190,,,22.,154,,,,,11.,165,,,509,15
15,La Carbonara Noemi,TBM1156,,,,,8.,168,,,,,10.,166,9.,167,501,16
16,Schwabová Barbora,TBM1188,,,,,11.,165,,,,,9.,167,11.,165,497,17
17,Bašeová Jolana,ZBM1051,,,14.,162,,,11.,165,,,,,13.,163,490,18
18,Eliášek Jakub,LBM1101,3.,182,,,34.,142,DISK,0,,,12.,164,,,488,19
