,Name,RegNo,9517-Place,9517-Points,9690-Place,9690-Points,Best2-Points,place
0,Jašová Anna,ZBM1557,2.,190,13.,163,353,1
1,Marek Daniel,ZBM1701,3.,182,7.,169,351,2
2,Matulová Adéla,PBM1751,11.,165,3.,182,347,3
3,Marková Zuzana,ZBM1751,5.,172,10.,166,338,4
4,Kozmon Tomáš,PBM2000,8.,168,16.,160,328,5
5,Novák Ondřej,0210001,14.,162,21.,155,317,6
6,Nový Filip,ZBM1707,20.,156,31.,145,301,7
7,Pecka Lukáš,HLV7707,22.,154,29.,147,301,7
8,Kozumplíková Andrea,VBM1653,29.,147,23.,153,300,9
9,Růžička Tadeáš,VBM1902,27.,149,34.,142,291,10
10,Matulová Markéta,ADA1551,,,1.,200,200,11
11,Dvořák Jakub,ZBM1503,1.,200,,,200,11
12,Ženková Tereza,TBM1657,,,2.,190,190,13
13,Pala Tereza,ZBM1552,,,4.,176,176,14
14,Janda Tobiáš,ZBM1902,4.,176,,,176,14
15,Chromá Klára,TBM1991,,,5.,172,172,16
16,Pařízek Matěj,ZBM1603,6.,170,,,170,17
17,Ženková Sára,TBM1858,,,6.,170,170,17
18,Dvořáková Anežka,ZBM1851,7.,169,,,169,19
19,Stachoňová Karolína,ZBM1652,,,8.,168,168,20
20,Semotam Vít,ZBM1803,,,9.,167,167,21
21,Kobližek Kryštof,0070005,9.,167,,,167,21
22,Zelinka Radim,PBM2020,10.,166,,,166,23
23,Čípa Vojtěch,nereg.,,,11.,165,165,24
24,Holáňová Silvie,ZBM1752,12.,164,,,164,25
25,Mazálková Markéta,nereg.,,,12.,164,164,25
26,Kovářová Antonie,ABM1651,13.,163,,,163,27
27,Toušová Eva,ZBM1559,,,14.,162,162,28
28,Špirk Eduard,MBM1809,15.,161,,,161,29
29,Šulák Oskar,nereg.,,,15.,161,161,29
30,Nový David,0070003,16.,160,,,160,31
31,Zimmermann Albert,nereg.,17.,159,,,159,32
32,Semotam Antonín,ZBM1703,,,17.,159,159,32
33,Mazálek Antonín,nereg.,,,18.,158,158,34
34,Trávníčková Jitka,0140001,18.,158,,,158,34
35,Sedláková Barbora,nereg.,,,19.,157,157,36
36,Trávníček Adam,0140002,19.,157,,,157,36
37,Šedivý Ondřej,VBM1502,,,20.,156,156,38
38,Chaloupka Matěj,ZBM1403,21.,155,,,155,39
39,Nekula Ondřej,nereg.,,,22.,154,154,40
40,Eschlerová Lenka,UBM1751,23.,153,,,153,41
41,Kozumplík David Larry,VBM2101,DISK,0,24.,152,152,42
42,Sladká Meda,PBM1851,24.,152,,,152,42
43,Skoupa Valerie,nereg.,,,25.,151,151,44
44,Nováčková Anika,ZBM1653,25.,151,,,151,44
45,Karpíšek Prokop,0180001,26.,150,,,150,46
46,Kaiser Tímea,nereg.,,,26.,150,150,46
47,Králová Viola,BBM1850,,,27.,149,149,48
48,Lišková Anna,ZBM1852,28.,148,,,148,49
49,Dokoupilová Lada,VBM1851,,,28.,148,148,49
50,Novák Adam,0210002,30.,146,,,146,51
51,Touš Petr,ZBM1705,,,30.,146,146,51
52,Novák Eliáš,0210003,31.,145,,,145,53
53,Dokoupilová Simona,VBM1553,,,32.,144,144,54
54,Zimmermannová Štěpánka,nereg.,32.,144,,,144,54
55,Zelinková Julie,MBM2364,33.,143,,,143,56
56,Ráb Šimon,nereg.,,,33.,143,143,56
57,Růžičková Aneta,nereg.,,,35.,141,141,58
58,Trš Josef,PBM1501,DISK,0,36.,140,140,59
59,Čechová Sofie,nereg.,,,DISK,0,0,60
60,Klášterecký Matouš,BBM1800,DISK,0,,,0,60
61,Čípa Tadeáš,TBM1506,,,DISK,0,0,60
62,Sychra Jakub,VBM1601,,,DISK,0,0,60
63,Stehlík Tomáš,0150002,DISK,0,,,0,60
64,Stehlíková Anna,0150001,DISK,0,,,0,60
